query	code	rev	size	ac	org	taxid	NCBI_DNA	NCBI_AA	ip	pfam
Q9F9L1	ALR_PISSA	Reviewed	166	Q9F9L1	Piscirickettsia salmonis.	1238	AF184152	AAG17001.1	IPR001608	PF01168
Q7WVE5	Q7WVE5_XENNE	Unreviewed	56	Q7WVE5	Xenorhabdus nematophilus (Achromobacter nematophilus).	628	AY321439	AAP97861.1	IPR001608	PF01168
B4V6M4	B4V6M4_9ACTO	Unreviewed	75	B4V6M4	Streptomyces sp. Mg1.	465541	DS570401	EDX23611.1	IPR011078	PF01168
C2KLK6	C2KLK6_LEUMC	Unreviewed	82	C2KLK6	Leuconostoc mesenteroides subsp. cremoris ATCC 19254.	586220	ACKV01000084	EEJ41894.1	IPR001608	PF01168
Q7P303	Q7P303_FUSNV	Unreviewed	78	Q7P303	Fusobacterium nucleatum subsp. vincentii ATCC 49256.	209882	AABF01000016	EAA24770.1	IPR011078	PF01168
Q93EH6	Q93EH6_HELHP	Unreviewed	81	Q93EH6	Helicobacter hepaticus.	32025	AF358689	AAL16678.1	IPR001608	PF01168
Q93DQ5	Q93DQ5_FRANO	Unreviewed	210	Q93DQ5	Francisella novicida.	264	AF384669	AAL18607.1	IPR001608	PF01168
B3KLG2										
C2KLK5	C2KLK5_LEUMC	Unreviewed	226	C2KLK5	Leuconostoc mesenteroides subsp. cremoris ATCC 19254.	586220	ACKV01000084	EEJ41893.1	IPR001608	PF01168
C2VXW4	C2VXW4_BACCE	Unreviewed	104	C2VXW4	Bacillus cereus Rock3-42.	526985	ACMK01000107	EEL44234.1	IPR011078	PF01168
C2K4J3										
C4GL65	C4GL65_9NEIS	Unreviewed	111	C4GL65	Kingella oralis ATCC 51147.	629741	ACJW02000003	EEP67474.1	IPR011078	PF01168
C0AXY3	C0AXY3_9ENTR	Unreviewed	115	C0AXY3	Proteus penneri ATCC 35198.	471881	ABVP01000025	EEG84344.1	IPR011078	PF01168
C3WCX6	C3WCX6_FUSMR	Unreviewed	256	C3WCX6	Fusobacterium mortiferum ATCC 9817.	469616	GG657909	EEO35732.1	IPR001608	PF01168
B0ADR1	B0ADR1_9CLOT	Unreviewed	116	B0ADR1	Clostridium bartlettii DSM 16795.	445973	ABEZ02000022	EDQ95407.1	IPR011078	PF01168
A7N3N0	A7N3N0_VIBHB	Unreviewed	259	A7N3N0	Vibrio harveyi (strain ATCC BAA-1116 / BB120).	338187	CP000790	ABU74246.1	IPR001608	PF01168
C2BYX3	C2BYX3_LISGR	Unreviewed	124	C2BYX3	Listeria grayi DSM 20601.	525367	ACCR01000012	EEN77942.1	IPR011078	PF01168
C0D1E0	C0D1E0_9CLOT	Unreviewed	253	C0D1E0	Clostridium asparagiforme DSM 15981.	518636	ACCJ01000216	EEG54857.1	IPR001608	PF01168
C1SPE1										
A1CVW1	A1CVW1_NEOFI	Unreviewed	315	A1CVW1	181) (Aspergillus fischerianus).	331117	DS027685	EAW24763.1	IPR001608	PF01168
C1QEV9										
C4V3V6	C4V3V6_9FIRM	Unreviewed	283	C4V3V6	Selenomonas flueggei ATCC 43531.	638302	ACLA01000018	EEQ48525.1	IPR001608	PF01168
Q45NG5	Q45NG5_LISMO	Unreviewed	146	Q45NG5	Listeria monocytogenes.	1639	EF062740	ABK64238.1	IPR001608	PF01168
A0SYK1	A0SYK1_LISMO	Unreviewed	146	A0SYK1	Listeria monocytogenes.	1639	EF062761	ABK64259.1	IPR001608	PF01168
A0SYK3	A0SYK3_LISMO	Unreviewed	146	A0SYK3	Listeria monocytogenes.	1639	EF062764	ABK64262.1	IPR001608	PF01168
A0SYH7	A0SYH7_LISMO	Unreviewed	146	A0SYH7	Listeria monocytogenes.	1639	EF062758	ABK64256.1	IPR001608	PF01168
A0SYH6	A0SYH6_LISMO	Unreviewed	146	A0SYH6	Listeria monocytogenes.	1639	EF062767	ABK64265.1	IPR001608	PF01168
A0SYI2	A0SYI2_LISMO	Unreviewed	146	A0SYI2	Listeria monocytogenes.	1639	EF062765	ABK64263.1	IPR001608	PF01168
Q83UQ1	Q83UQ1_LISMO	Unreviewed	151	Q83UQ1	Listeria monocytogenes.	1639	AB276604	BAF65901.1	IPR001608	PF01168
A6P5H3	A6P5H3_LISMO	Unreviewed	151	A6P5H3	Listeria monocytogenes.	1639	AB276597	BAF65894.1	IPR001608	PF01168
Q83Z16	Q83Z16_LISMO	Unreviewed	151	Q83Z16	Listeria monocytogenes.	1639	AY259714	AAP20331.1	IPR001608	PF01168
Q83UG4	Q83UG4_LISMO	Unreviewed	151	Q83UG4	Listeria monocytogenes.	1639	AB276602	BAF65899.1	IPR001608	PF01168
Q83UA0	Q83UA0_LISMO	Unreviewed	151	Q83UA0	Listeria monocytogenes.	1639	AB276612	BAF65909.1	IPR001608	PF01168
Q83Z17	Q83Z17_LISMO	Unreviewed	151	Q83Z17	Listeria monocytogenes.	1639	AY259713	AAP20330.1	IPR001608	PF01168
Q83Z15	Q83Z15_LISMO	Unreviewed	151	Q83Z15	Listeria monocytogenes.	1639	AY259715	AAP20332.1	IPR001608	PF01168
Q83Z19	Q83Z19_LISMO	Unreviewed	151	Q83Z19	Listeria monocytogenes.	1639	AY259691	AAP20308.1	IPR001608	PF01168
